plateifu gini m20 C A S morph_flag
8149-12702 0.6811427182979714 -0.8603689419139569 2.0543752157416435 1.0122237630252593 0.5930760784906483 1.0
8149-1901 0.2572609657055331 -0.766093485250207 1.4493106489819851 0.3168415207377253 0.121106509751078 0.0
8149-3703 0.6903819192250081 -1.1273907979041309 3.2375348639080848 0.7133201444394537 0.46838246807638767 1.0
8149-6101 0.48633602650436225 -1.000817223374648 1.5028225647265925 0.8141689501649738 0.17184450911456917 0.0
8149-6103 0.4787735617131971 -1.1893152946136019 1.4998916909779367 0.8976456992517632 0.21402412562629528 0.0
8149-9101 0.5224041664522094 -0.9422584413832878 1.333383387940117 0.6722532061503282 0.16798532245674672 0.0
8155-12703 0.46518573800620233 -0.7761910162280512 1.387209642752878 0.8792817307490484 0.2574397647528085 0.0
8155-1902 0.3888763358438347 -1.570611596120863 2.262945905226224 0.31969912917444837 0.11987328471883149 0.0
8155-3701 0.3710766518943977 -0.7277554193382401 1.3417052352596615 0.5770042130843231 0.18143041088156112 0.0
8155-3703 0.5273202155001727 -1.8435537810348495 3.0583636515668693 0.2191439247209455 0.16073852673888223 0.0
8155-6102 0.3306503920394754 -0.5593151024650975 1.4502904194145707 0.4413531973095031 0.24610894469968272 0.0
8155-6104 0.3102910658409601 -0.7270476582875369 1.676180385361869 0.4464954354417081 0.15071490334579674 0.0
8156-12703 0.48030982390773813 -0.5803812986860277 1.521148825849286 0.69835838811836 0.3131973327138127 0.0
8156-12704 0.6317136655795261 -0.6288963000805169 1.4334577245372584 1.0262224176745676 0.655700725510244 0.0
8156-3701 0.3859447543104523 -0.8809338435244465 1.5878470933815867 0.6053230915830343 0.15396315882862321 0.0
8156-3703 0.5003067795040735 -1.302829643227829 2.428619770187117 0.5209674011157273 0.2009703704760366 0.0
8239-12705 0.36832883612158057 -0.6913797631046128 1.2524234709813316 0.58186000598624 0.23016467619982994 0.0
8239-3702 0.46905188234502077 -1.2070920019941742 2.0258832439086314 0.5963068237330836 0.18090204312747113 0.0
8239-3704 0.39606037530028415 -0.660851765041911 1.4946254126574514 0.5500097826932928 0.23447690425990966 0.0
8239-9101 0.45246243221906046 -0.6839961480184246 1.2949515858532696 0.6317489234296528 0.249966834317095 1.0
8239-9102 0.4935153945120082 -0.6198534456815564 1.4214931244769782 0.6444821612419294 0.4116216690736001 1.0
8241-3703 0.33117335489031596 -0.884192048216853 1.1726259630628264 0.5334511741092408 0.16411001008196316 0.0
8241-3704 0.3444749105190773 -0.6252911374182473 1.3805669956425604 0.3659345198412208 0.19864047383355626 0.0
8241-6101 0.4461969795701653 -0.7985671525205543 1.6717383811578057 0.6098297680339914 0.13662922420676324 0.0
8241-6102 0.3059384657080389 -0.6750112278341124 1.3157023260584368 0.4124859268294559 0.19540254487944628 0.0
8243-9101 0.4775556097507845 -0.9395278971236517 2.0499930685846763 0.5367353006492247 0.1761994559016631 0.0
8244-12702 0.3736435420682365 -0.7719496920379407 1.4280127389338528 0.6000225703957506 0.19723184287851442 0.0
8244-3702 0.42868448844472984 -1.089674281813899 2.0392693339938512 0.24732479087756334 0.12387901536737692 0.0
8244-6101 0.3893081005209512 -0.5794910494465098 1.2992920684505265 0.5054729006873778 0.21149810266396626 0.0
8244-9101 0.3741055985143598 -0.5728305523378632 1.1613384410974272 0.5136216282975894 0.2239120586846572 0.0
8247-12702 0.3578430822778775 -0.763059893847787 1.637407732226312 0.47829650031092635 0.25202125538361914 0.0
8247-12703 0.33913393577890394 -0.830909831803534 1.7261177239647356 0.5709449805653762 0.2618961376249658 0.0
8247-12704 0.3404752523314549 -0.790628143772746 1.3260189693753373 0.5265411768686356 0.1918023445267785 0.0
8247-3701 0.4442239850036068 -0.8045544145473221 0.9095847592735622 0.6843965712457172 0.196616414337314 0.0
8247-9101 0.2964284822110713 -0.7121949823936112 1.3158371018446438 0.4862735093853832 0.1920928248411315 0.0
8249-3703 0.6057299069060526 -1.8647536425813749 3.0792911827495923 0.21229998880354672 0.18882660033496557 0.0
8249-6102 0.35112354319861877 -0.9317993706084184 1.6252705961548333 0.46407879294213955 0.12683666368324722 0.0
8250-3703 0.41571691415537354 -1.1859591545755988 2.2841766386261404 0.4501257209623173 0.26078447315906095 0.0
8250-3704 0.3921704083057889 -0.9626036393309794 2.195916562709245 0.49013270182702534 0.25399863955829344 0.0
8252-12701 0.46829871610079715 -0.7417806320358347 1.0779798881855691 0.7012213715312153 0.2578219778015473 0.0
8252-1902 0.36772745606251905 -0.5828571096342309 1.3167702152183447 0.45599531353176714 0.19223882132265457 0.0
8252-6101 0.4147391605355389 -0.7492992089488271 1.44192937066761 0.547713825757031 0.14497022929199221 0.0
8252-6102 0.402184167897791 -0.694145355472054 1.0777052246902015 0.6282271473896692 0.16203394979245223 0.0
8252-9102 0.43928449415828935 -0.9055654336062288 1.9135082956012452 0.5873615909256443 0.15663105204117336 0.0
8253-3703 0.38592920209468523 -1.206549360814105 1.99384887592037 0.3538729951823365 0.12596334101534587 0.0
8254-12701 0.4352954431138582 -0.716858716696497 1.5695352267173037 0.5236254999632776 0.33536833213423944 0.0
8254-12703 0.546246892632303 -0.8992486158264201 1.9444499580664925 0.7002325858829371 0.29994938352830014 0.0
8254-12704 0.49995861633690125 -0.8500625344371966 1.8211614396886264 0.8293538961812881 0.37681454027621025 0.0
8254-1901 0.5149769120824172 -0.7841440464372008 1.7166771348079335 0.6447659741445955 0.12640915086909307 0.0
8254-1902 0.4485716727157978 -1.3433944827652722 2.126014821346817 0.17825319272400014 0.07649707221019329 0.0
8254-6102 0.29011963873271335 -0.8090513107990626 1.5755680937592564 0.32231580701153206 0.13124284458235524 0.0
8254-9102 0.6611409117706412 -0.7779166834276254 1.9699610879890286 0.8848136657282772 0.6083208568454658 1.0
8255-12702 0.36564879164352726 -0.6271257076517948 1.1330181336607466 0.5628579519985395 0.23414737418954207 0.0
8255-12705 0.40167503352727096 -0.644576025948852 1.3247983165546402 0.6120154608669389 0.31534124094756966 0.0
8255-3701 0.45984533476177636 -1.4737099915612084 2.3740358939312847 0.4288633513450839 0.14429337736293948 0.0
8255-3702 0.36171353041129956 -0.7188478203370856 1.5120649734821305 0.4506486754773861 0.16654805135307862 0.0
8255-3703 0.6456647588930712 -1.686190432974226 3.1551744922615117 0.5447111323030315 0.3242270088289174 0.0
8256-12703 0.5556253983392705 -0.7533030330892814 1.7017943228910544 0.7478444504348126 0.47305309865250683 0.0
8256-6102 0.5486121593907581 -0.9252996853474378 1.9789435000568834 0.5410656504936869 0.34785321132689595 0.0
8257-3704 0.7031676714472621 -1.2091927021138336 3.3143981847228017 0.7295423978533079 0.24088682506614575 0.0
8257-6101 0.30420081713000363 -0.6862192848867098 1.4056682499425581 0.4544140278981332 0.20185374319347266 0.0
8257-6102 0.35064049782127865 -0.9402052182725992 1.5536129500507432 0.5492886281564248 0.135095291433896 0.0
8257-6103 0.4503363716081915 -0.679063518429263 1.0258724224537759 0.48320979576996803 0.2149502466974546 0.0
8258-1901 0.30701094065470313 -1.1808756458848828 2.0028433216957438 0.3401558120983751 0.1213005298737272 0.0
8258-1902 0.3505636636935577 -0.7190566717824948 1.39279754160449 0.4939741368260242 0.14060592721472323 0.0
8258-3701 0.3831877352116568 -0.6822429191615547 1.5169675517404466 0.6136614603760707 0.199716811682827 0.0
8258-3702 0.4136838995189812 -1.1814998362521916 2.0661026645782696 0.39437591833797164 0.17969351973197595 0.0
8258-6101 0.3552935081456091 -0.8249330092154628 1.6073744552850353 0.620375970602303 0.149286209838913 0.0
8258-9101 0.5554454750813053 -0.988247167995571 1.124811209618516 0.7792474318537489 0.21221075824061236 0.0
8259-1902 0.33047851333745487 -0.7742069722826304 2.0462776799833233 0.33824316004358435 0.12006418233745692 0.0
8259-3702 0.506691456080067 -0.6277511111679674 1.4198314888661898 0.5918763248447848 0.1740544804996646 0.0
8259-3704 0.3888781855865226 -1.2846416646095336 2.0259183058773447 0.22903230944425085 0.1044731804016645 0.0
8259-6104 0.33035888145135645 -0.759638309608021 1.392436678290849 0.5676264840609945 0.14544381923333863 0.0
8259-9101 0.4577352902826656 -0.7590879985041958 1.628441269710207 0.7141629215255679 0.24199944833682574 0.0
8259-9102 0.3975057888251216 -0.6869086379420527 1.1510683024977233 0.6243350691181088 0.21662651906615948 0.0
8261-1901 0.30551269594833014 -1.5482755893447822 2.095141917194904 0.22421204680491086 0.09715336834279965 0.0
8261-6102 0.25788389192810846 -0.6627494778193845 1.4884300861952384 0.3940361187604331 0.17846821866644583 0.0
8262-12703 0.5275909989634565 -0.6523142660560365 1.200407005335956 0.7524001260246549 0.35584859994591467 0.0
8262-1901 0.3218854517819912 -1.5877989687230092 2.1793040368297816 0.27890735382788645 0.1049629908329258 0.0
8262-3702 0.35812295444083586 -0.917647091337923 1.7074211819743337 0.6039996252734988 0.16344704132800794 0.0
8262-3703 0.30087767222065015 -0.8226811267935505 1.4977223279605314 0.3909332367826254 0.15573771971479553 0.0
8262-6101 0.4344773780499716 -1.0620840948452768 1.3520315857355198 0.7101743389896867 0.17428929172465268 0.0
8262-9102 0.4449672017206768 -0.7924522464708843 1.825901010813116 0.5693047380023786 0.1865574429348855 0.0
8263-12704 0.5269211194549662 -0.6325364347509846 1.5615198350324242 0.7779079127986753 0.4252607419919622 0.0
