plateifu bin_sf_num slope zp r2 e_slope orslope orzp slope1 slope2 tpx tpy mode_flag
7960-6102 254.0 1.0172844803657446 -10.437062606324938 0.6958259464828189 0.06614442571477391 1.017284480365745 -10.437062606324941 2.1288669058144376 0.0374637351797296 7.823362074485612 -2.118680163676166 0.0
7960-9101 158.0 0.7094908233047785 -8.476995380009674 0.5586352699596175 0.08433875660523818 0.7902736741410679 -9.137936388256591 0.8283788749531859 0.4250629248796226 8.119305584119314 -2.6647903533120063 1.0
7962-12704 564.0 1.1629650829112672 -11.732467129343704 0.8465913421339926 0.03084146702259414 1.186313264853682 -11.934883462337758 1.0808517461348965 1.2496202643138479 8.188357679163984 -2.2354065868261888 0.0
7962-9101 146.0 0.9317943454381501 -9.859289912173825 0.8020738520109413 0.057817904181808724 0.9561811101411677 -10.07513593697413 1.2252607643072202 0.6266982473158528 8.538326665422657 -1.7495541250533402 0.0
7975-12702 93.0 0.7419687081209879 -8.641308890792835 0.5567101409910477 0.11606025928140445 0.7419687081209869 -8.641308890792827 1.0389055474481048 -0.4999999999999983 8.3814385603598 -2.2009073087805806 1.0
7975-12705 102.0 0.538438841955255 -6.645740847711561 0.8125959973210579 0.038619054989510224 0.5294637305852543 -6.573401309820544 0.5861979748460763 0.3142421457852711 7.780513018285241 -2.4173443867705884 1.0
7975-6104 236.0 0.9433638234500148 -10.092928049939774 0.6996852772869705 0.06297107705216098 0.9095617788438866 -9.794822861360759 1.4187121348613496 0.3617446933702475 8.544350300520627 -1.8653452920319407 0.0
7975-9101 304.0 0.5446219029488629 -6.828183697792545 0.7308235423221473 0.0292700885612284 0.5368529756764059 -6.762539279565708 0.6008850744502049 0.5077385038190567 7.867880419504457 -2.523154796943598 1.0
7977-12701 237.0 1.133770701515446 -11.207654995790474 0.9136220049813923 0.032912008409128723 1.1304814502016451 -11.184813135969735 1.2529023638902317 0.8730995831859212 8.19271030358375 -1.8429316770446278 0.0
7977-3703 406.0 1.2849893710069868 -12.778910195223538 0.8619755891063895 0.03759921938877385 1.3106649347202999 -13.004300897902752 1.4690497422696853 0.7025235371916256 8.805280872723964 -1.3729325185415149 0.0
7990-3703 472.0 1.2632687696235023 -11.862567767817263 0.8867356659758778 0.030377691782237055 1.3060497480201436 -12.216770795177421 1.2862203093551248 1.1882116575391766 8.58072956110492 -1.0105623449157206 0.0
7990-6101 150.0 1.1652916565498819 -12.248594697488166 0.7545354676319517 0.08331046732558346 1.214709192636461 -12.666225473330856 1.4590537387663174 0.8807655730314672 8.252110727280511 -2.5667079340129964 0.0
7990-6104 449.0 1.0690494627043041 -10.561938585228543 0.807164348733152 0.036980651342952295 1.0849975108060101 -10.694670891442897 0.5645497566719069 1.4155397630465376 8.152176993566318 -1.9775430150615785 0.0
