plateifu D4000_slope D4000_mode
8263-1901 0.03553763206094507 -1
8263-3703 0.005902872873773905 -1
8263-6101 -0.09779144280177134 1
8263-6102 0.09397050262422095 -1
8274-12703 -0.2503351809722932 1
8274-6102 0.01347442088144401 -1
8312-12702 -0.11369395434478981 1
8312-12703 0.04915202291086822 -1
8312-12704 0.24103078043664616 -1
8312-6102 -0.016418454053976156 1
8312-6103 0.12009898888320875 -1
8313-12702 -0.023639719927732093 1
8313-1902 nan 0
8313-3703 0.19266571793746826 -1
8313-6103 -0.07361355913835507 1
8313-9101 -0.3023684134931472 1
8313-9102 -0.3364416352954512 1
8315-12703 -0.4312299042738192 1
8315-12705 0.1618594358663515 -1
8315-6101 -0.059694414059811705 1
8315-9102 -0.04541669316783838 1
8317-9102 -0.10353553194161229 1
8318-12704 -0.10146367811028943 1
8318-12705 -0.11241677581391055 1
8318-3703 -0.31405216803964664 1
8318-6101 -0.03667887003882846 1
8318-6102 0.08658353880091436 -1
8318-6104 -0.02054664684165497 1
8318-9101 -0.03246294477729754 1
8319-3703 -0.11602435612543621 1
8319-6102 -0.33611620381287177 1
8319-9101 -0.15208302980403807 1
8320-3704 -0.11665796585734736 1
8320-6101 0.0911293317100945 -1
8320-6104 0.015108371335337167 -1
8320-9102 -0.36002123005123365 1
8325-12701 -0.1379464895482261 1
8325-12705 -0.14018907603526895 1
8325-3704 -0.15570780843671686 1
8325-9102 -0.05074537895390174 1
8326-12702 -0.10849870384347825 1
8326-12703 -0.15845437662430475 1
8326-12705 -0.006199557476334202 1
8326-6102 0.16871461378997332 -1
8326-9102 -0.4075042803792434 1
8329-3702 0.029312045314383944 -1
8329-6103 -0.19823636911654438 1
8329-6104 -0.15476595418998956 1
8330-12701 -0.18111395060739005 1
8330-12702 -0.4228247102852634 1
8330-12703 -0.09246926420866482 1
8330-1902 0.054981830435781136 -1
8330-3701 -0.13129959989681814 1
8330-6102 0.02363266226624385 -1
8332-12701 -0.005911623481830077 1
8332-12703 -0.2827364896681399 1
8332-12704 -0.08246377313555549 1
8332-3702 -0.04755871350337693 1
8332-6103 -0.2555826057798615 1
8332-9101 -0.1996010011017563 1
8333-1902 0.07528899196921693 -1
8333-3701 -0.13431286323343802 1
8335-6101 0.09393724849112663 -1
8335-6102 -0.07942349349399161 1
8335-9102 -0.09672225937439509 1
8338-1901 0.0781239174862224 -1
8338-3702 -0.11022670887171616 1
8338-6102 -0.02189963469749505 1
8338-6104 -0.033199020946314765 1
8341-12703 -0.03586737668568578 1
8341-12704 -0.041947401812787354 1
8341-9101 -0.22076362832038185 1
8439-1901 0.2143327144318653 -1
8439-3703 -0.10879647885268813 1
8439-6102 0.09916514155640825 -1
8439-9102 0.17381652097292513 -1
8440-1901 0.05940874672347372 -1
8440-1902 0.05907349900352455 -1
8440-3703 -0.04389104132112418 1
8440-6104 0.1646756938088682 -1
8447-12701 -0.23406024338248538 1
8447-12702 -0.09669624081638793 1
8447-12705 -0.02472283002496092 1
8447-1901 -0.07100753358270497 1
8447-3701 -0.18808303415113636 1
8447-3703 -0.13170275639240564 1
8447-3704 -0.13338608968696045 1
8448-3703 -0.11733864083963709 1
8448-6101 0.24022148486353306 -1
8448-6104 0.05972813973001934 -1
8448-9101 -0.12796909403039955 1
8449-12701 0.03135241377582058 -1
8449-3703 -0.04976911813606822 1
8449-9101 -0.12834007459541869 1
8449-9102 -0.16851871379393318 1
8450-12701 -0.060286725950100976 1
8450-12702 -0.09273075545840155 1
8450-1901 nan 0
8450-3703 -0.05583325169435467 1
8450-6102 -0.007089552030839793 1
8450-9101 -0.07591180069315168 1
8450-9102 -0.2220420947286018 1
8451-12703 -0.05027618503450345 1
8451-12704 -0.21640243451529734 1
8451-3701 nan 0
8451-3702 0.010792559742475073 -1
8452-12701 -0.16119451492864417 1
8452-12703 -0.44782947787758426 1
8452-1902 -0.22719927179368635 1
8452-6104 -0.1057124547976118 1
8452-9102 -0.1464522114912673 1
8453-12704 -0.09128892105930496 1
8453-6102 -0.11424481691716983 1
8454-12702 -0.003088148051471382 1
8454-12703 -0.13824921523719083 1
8454-6101 -0.20908113978598086 1
8454-6104 -0.130804571045862 1
8455-12701 -0.1302621915303291 1
8455-3701 -0.026379729739253552 1
8455-3704 0.029770222752667407 -1
8455-6101 -0.03899111619366997 1
8455-9102 -0.02748774810667867 1
8456-3703 0.00476762028676396 -1
8456-9101 -0.1627875829836302 1
8456-9102 -0.05933945279753505 1
8458-12704 -0.08283183388905027 1
8458-3702 -0.1409078059070295 1
8458-6102 0.08012945330393456 -1
8459-12702 -0.03267858103374608 1
8459-1901 0.053616523473784705 -1
8459-1902 0.11865515611390773 -1
8459-3702 -0.21895361267273153 1
8459-6101 -0.1964648185310572 1
8459-6102 -0.03590445281404942 1
8461-12702 -0.06242306176935404 1
8461-3704 -0.21504882791494384 1
8461-6101 -0.14844210777649133 1
8461-9102 0.1462670792960227 -1
8462-3703 0.07509200941143693 -1
8462-3704 nan 0
8462-6101 -0.0018108306103865974 1
8462-6104 0.04851612681993369 -1
8464-12704 -0.09349820658969893 1
8464-3701 -0.057301509310508994 1
8464-3702 0.2614397787099541 -1
8464-3704 -0.15042571042755665 1
8464-6101 0.1391856554496424 -1
8464-6102 -0.15406757190688058 1
8464-9102 -0.08951488156751534 1
8465-12701 0.025390299777213212 -1
8465-12705 0.016759587751247557 -1
8465-6102 -0.03542864198040205 1
8465-9102 0.15649787231212378 -1
8466-12704 -0.17009404671428832 1
8466-3702 -0.0971084799182035 1
8466-3704 0.31576800638635416 -1
8481-12703 -0.28396836049962404 1
8481-12704 -0.2809004219440336 1
8481-6103 -0.11415331079776771 1
8481-9102 0.012143180553678605 -1
8482-12705 -0.21553689431422207 1
8482-3702 -0.22871749395551236 1
8483-12702 0.16556161043525786 -1
8483-12705 -0.03352240646490196 1
8483-1901 nan 0
8483-6103 -0.006026647849462899 1
8484-6104 -0.05767530461385365 1
8485-12701 0.025299742872908818 -1
8485-12702 -0.09889556441404732 1
8485-1901 nan 0
8485-3701 0.11313129779824563 -1
8485-3702 -0.00791998692640932 1
8485-6101 -0.046333387693403914 1
8485-9102 -0.2548886615450259 1
8486-12702 -0.08794337383497443 1
8486-1901 0.12855088743816148 -1
8486-6101 -0.05018321677990067 1
8486-9101 0.14406399645168383 -1
8486-9102 0.1317010609533816 -1
8547-3703 -0.04031634835432778 1
8547-3704 0.04388303057831121 -1
8547-6103 -0.08071669858870087 1
8548-12702 -0.1566000333624202 1
8548-1902 0.03398339605307225 -1
8548-3702 -0.002639566667430647 1
8548-3704 -0.04734190722197578 1
8548-6102 -0.0875052547197889 1
8548-6103 -0.08991962574408326 1
8548-9102 -0.06405971758220746 1
8549-1901 0.023680881236161768 -1
8549-6103 -0.0577933986617463 1
8549-6104 0.07887104873589526 -1
8549-9102 -0.06406202863334805 1
8550-12703 0.16101778772122535 -1
8550-6103 -0.2916336911333835 1
8550-9102 0.03427559625791037 -1
8551-12701 -0.16389702519509738 1
8551-12702 -0.14798450943762018 1
8551-12703 -0.05927645172380113 1
8551-12705 0.06808606172859634 -1
8551-9101 -0.37922611742633483 1
8552-12703 -0.36439451604627004 1
8552-12704 -0.10748342267013211 1
8552-3701 0.19980290745715432 -1
8552-6101 -0.18344412316697312 1
8552-9101 -0.27203817290405397 1
8553-12704 -0.46102114191207944 1
8553-1901 nan 0
8553-3704 0.016314081392182433 -1
8553-9102 0.040751064130856475 -1
8554-12701 -0.28997739752547425 1
8554-12702 -0.023435157718818517 1
8554-12703 -0.45396977643790526 1
8554-3701 0.16821696099624292 -1
8554-3704 0.14302349418020652 -1
8554-6101 -0.06919700424041637 1
8554-9101 -0.0052133351734062385 1
8555-12702 0.00033534498874971785 -1
8555-12705 -0.28176576851864316 1
8555-9102 -0.157664996163818 1
8566-12702 -0.006328038727370884 1
8566-12704 -0.05693127387117575 1
8566-3703 0.017497640847682017 -1
8566-3704 -0.014518005399882485 1
8566-6103 -0.0696163805481019 1
8567-3701 -0.16483440099730362 1
8567-6101 -0.17051303246626254 1
8567-6103 0.3165149942821054 -1
8567-9101 0.0003359788087657468 -1
8567-9102 -0.06420366256954488 1
8568-12703 -0.09359709114713011 1
8568-3703 0.17589826603551234 -1
8568-3704 -0.06523138568209177 1
8588-1901 0.03368810379367777 -1
8588-3702 -0.1561163491692494 1
8588-6101 -0.024209606970622608 1
8588-9102 -0.21059691341135672 1
8591-12705 -0.1302610964153556 1
8591-3703 -0.06086453397561709 1
8591-6103 -0.02047040939687307 1
8591-6104 -0.2990333938089291 1
8591-9101 -0.34917678923984696 1
8591-9102 -0.11759296367600765 1
8592-12701 -0.051252526655216554 1
8592-12702 -0.02374211574816497 1
8592-3702 0.06215454219475828 -1
8592-3703 -0.024454377508544022 1
8592-3704 -0.05221494671318057 1
8592-9101 -0.2497178301534165 1
8595-12703 -0.15636328678809086 1
8595-12705 -0.11249502919282912 1
8595-3702 -0.39196815428955145 1
8595-6102 -0.1079813557711987 1
8595-6103 -0.1350630406736972 1
8597-12701 -0.1925781879311774 1
8600-12705 -0.12378331814932245 1
8600-1901 0.048674376255170695 -1
8602-3701 -0.06364465036460389 1
8602-6103 0.10629486366172797 -1
8602-9101 -0.07876156615909423 1
8603-12704 0.009387072864408331 -1
8603-9102 -0.18730146618618917 1
8604-3702 0.06326682017928881 -1
