plateifu weight_difference weight_ratio mode_flag bptclass
8077-3702 -1000.0 9.999000099990002e-05 -1.0 1.0
8077-3704 -498.0 0.33520224269122945 0.0 1.0
8077-6104 662.0 4.91484328799527 1.0 1.0
8078-3702 -358.0 0.47283168900014727 0.0 2.0
8078-3703 -368.0 0.4620669492764216 0.0 1.0
8078-3704 778.0 8.002700270027002 1.0 1.0
8081-12702 254.0 1.6807826320021442 0.0 2.0
8081-1902 -204.0 0.6611858495266567 0.0 1.0
8081-3702 -518.0 0.31761296271900935 -1.0 2.0
8081-3704 -290.0 0.5504572934428771 0.0 1.0
8081-6103 822.0 10.225589225589227 1.0 1.0
8081-9101 -916.0 0.0439411334933723 -1.0 3.0
8082-6101 -724.0 0.16019023315160652 -1.0 1.0
8082-6103 -90.0 0.8348926802421575 0.0 1.0
8083-3702 -1000.0 9.999000099990002e-05 -1.0 1.0
8084-12701 -334.0 0.4993254384649978 0.0 1.0
8084-12703 240.0 1.6314127861089187 0.0 3.0
8084-3702 180.0 1.4389173372348207 0.0 1.0
8084-3704 820.0 10.100998890122087 1.0 1.0
8084-6101 396.0 2.310824230387289 0.0 1.0
8084-6102 712.0 5.941013185287995 1.0 1.0
8084-9102 70.0 1.150505267684369 0.0 1.0
8086-12701 176.0 1.4270808056297015 0.0 2.0
8086-1902 642.0 4.584589614740369 1.0 1.0
8086-3702 400.0 2.3328890369876705 0.0 1.0
8086-6102 376.0 2.204742069849407 0.0 2.0
8131-6101 424.0 2.4717112113849358 0.0 1.0
8131-9101 -290.0 0.5504572934428771 0.0 1.0
8132-12703 990.0 195.11764705882354 1.0 2.0
8133-3701 568.0 3.6284127718648778 1.0 3.0
8134-12703 542.0 3.3657791357485816 1.0 1.0
8134-1901 48.0 1.1008191556395714 0.0 1.0
8135-12702 350.0 2.076591817902184 0.0 2.0
8135-12703 726.0 6.295404814004377 1.0 2.0
8135-1901 -844.0 0.08469797202038823 -1.0 1.0
8135-3702 -12.0 0.97628927089508 0.0 1.0
8135-3704 632.0 4.432916892992939 1.0 1.0
8135-9102 760.0 7.328059950041633 1.0 1.0
8137-12702 596.0 3.9490351311232064 1.0 2.0
8137-12703 962.0 51.366492146596855 1.0 3.0
8137-12704 946.0 35.90774907749078 1.0 2.0
8138-12701 786.0 8.338935574229692 1.0 1.0
8138-3704 -250.0 0.6000639897616381 0.0 1.0
8138-6104 628.0 4.374529822675981 1.0 1.0
8138-9102 992.0 242.95121951219514 1.0 3.0
8140-12705 712.0 5.941013185287995 1.0 1.0
8140-1902 596.0 3.9490351311232064 1.0 1.0
8140-6102 758.0 7.259289843104873 1.0 1.0
8140-9101 -30.0 0.94175888177053 0.0 1.0
8141-12704 862.0 13.47467438494935 1.0 2.0
8141-9102 128.0 1.2935106626920432 0.0 1.0
8143-6102 792.0 8.60806916426513 1.0 1.0
8143-9102 206.0 1.5187610173759758 0.0 1.0
8145-12704 930.0 27.495726495726494 1.0 1.0
8145-3701 -314.0 0.5221427484401157 0.0 1.0
8145-6103 498.0 2.983273596176822 0.0 2.0
8145-6104 166.0 1.3979860944617597 0.0 1.0
8145-9102 588.0 3.8529839883551675 1.0 1.0
8146-12702 874.0 14.851030110935024 1.0 3.0
8146-1901 -470.0 0.3606312066385526 0.0 1.0
8146-6103 408.0 2.3779128672745693 0.0 1.0
8146-9102 674.0 5.132434089515635 1.0 1.0
8147-12701 834.0 11.036101083032491 1.0 2.0
8147-12703 744.0 6.807962529274005 1.0 1.0
8147-1901 -518.0 0.31761296271900935 -1.0 1.0
8147-1902 -454.0 0.37560170540503374 0.0 1.0
8147-3702 664.0 4.950029744199881 1.0 1.0
