SPECOBJID RA DEC bptclass lgm_tot lgsfr_tot plateifu
464011811734185984 47.956237793 -0.00311456783675 1 9.47329521179 -0.450860023499 8081-1902
464017309292324864 47.9148902893 0.78169465065 1 9.6964302063 -9999.0 8081-1901
464019783193487360 48.0654563904 0.240451157093 1 9.68599796295 -0.0963805913925 8081-6103
464043422693484544 49.1085472107 0.321614325047 1 8.92935943604 -0.894702076912 8082-3702
463917253801306112 47.7586326599 -0.182327091694 2 8.99195861816 -0.697749197483 8081-12702
463918903068747776 47.7721405029 -0.546471714973 1 10.4647569656 -0.0464077815413 8081-9101
464012911312922624 47.956237793 -0.00311456783675 1 9.47329139709 -0.42646458745 8081-1902
464017309359433728 47.9148902893 0.78169465065 1 9.69633865356 0.202199801803 8081-1901
464023081795479552 48.0654563904 0.240451157093 1 9.68623733521 -0.0994857624173 8081-6103
464044797150128128 49.1085472107 0.321614325047 1 8.92948818207 -0.90739440918 8082-3702
463915604600973312 47.7721405029 -0.546471714973 1 10.4641942978 0.00659900996834 8081-9101
463917253868414976 47.7586326599 -0.182327091694 2 8.99159622192 -0.698230803013 8081-12702
464012361624217600 47.956237793 -0.00311456783675 1 9.47329902649 -0.455010265112 8081-1902
464017309426542592 47.9148902893 0.78169465065 1 9.6960811615 0.151215225458 8081-1901
464019783327705088 48.0654563904 0.240451157093 1 9.68614864349 -0.102185003459 8081-6103
464041773560260608 49.1085472107 0.321614325047 1 8.93009567261 -0.88531601429 8082-3702
464999440856410112 50.5013923645 -0.80709284544 3 9.91916847229 -0.482263028622 8083-12701
465007962071525376 50.1713676453 -1.17611050606 1 9.02216434479 -0.887729406357 8082-3701
465020056699430912 49.9737854004 -1.14587724209 1 9.85696792603 0.0135992337018 8081-6101
465021156211058688 50.1450767517 -1.09587395191 1 9.11820411682 -0.920156240463 8082-6101
465022530600593408 50.1606140137 -1.03506135941 2 9.95362186432 -0.732369601727 8082-1902
465023355234314240 49.8214263916 -0.9696393013 1 10.0350093842 0.585319161415 8081-3704
465035999618033664 50.0524711609 -0.540654122829 1 9.44491386414 -0.258333295584 8084-12701
465047544490125312 49.5115852356 -0.539021849632 1 10.316655159 -0.139736399055 8082-12703
465078330815703040 48.8964424133 -1.01627349854 3 10.4408922195 -0.1755515486 8082-12701
465081629350586368 48.4383811951 -0.241449251771 3 11.1043024063 -0.0960408896208 8082-12702
465110766408722432 49.4064369202 0.81519806385 1 9.48342704773 -0.383333355188 8081-12704
465116538844768256 49.1085472107 0.321614325047 1 8.93060779572 -0.871695399284 8082-3702
